Name,Weight,Wins,Losses,Draws,Birth Date,Country,Weight Class,Age,Last Fight
Danny Abbadi,155 lbs.,4,6,0,1983-07-03,United States,Middleweight,41,20/09/2009
David Abbott,265 lbs.,10,15,0,1965-04-26,United States,Heavyweight,60,13/04/2013
Shamil Abdurakhimov,235 lbs.,20,8,0,1981-09-02,Russia,Heavyweight,43,21/01/2023
Daichi Abe,170 lbs.,6,2,0,1991-11-27,Japan,Welterweight,33,05/04/2025
Papy Abedi,185 lbs.,10,4,0,1978-06-30,Sweden,Middleweight,46,01/04/2017
Ricardo Abreu,185 lbs.,5,1,0,1984-04-27,Brazil,Middleweight,41,02/02/2019
Klidson Abreu,205 lbs.,15,4,0,1992-12-24,Brazil,Light Heavyweight,32,15/12/2024
Scott Adams,225 lbs.,8,1,0,1974-07-16,United States,Heavyweight,50,10/03/2000
Juan Adams,265 lbs.,5,3,0,1992-01-16,United States,Heavyweight,33,22/02/2025
Zarrukh Adashev,125 lbs.,4,4,0,1992-07-29,United States,Flyweight,32,04/06/2022
Israel Adesanya,185 lbs.,24,5,0,1989-07-22,Nigeria,Middleweight,35,01/02/2025
Sam Adkins,225 lbs.,7,20,2,1965-04-26,United States,Heavyweight,60,20/10/2007
Nick Agallar,155 lbs.,24,6,0,1979-01-13,United States,Lightweight,46,04/03/2011
Mariya Agapova,125 lbs.,10,5,0,1997-04-07,Kazakhstan,Flyweight,28,13/07/2024
Marcelo Aguiar,170 lbs.,2,3,1,1969-01-20,Brazil,Welterweight,56,09/06/2000
Fabio Aguiar,185 lbs.,17,1,0,1988-02-10,Brazil,Middleweight,37,02/04/2021
Edwin Aguilar,185 lbs.,26,19,0,,Mexico,Welterweight,,11/06/2016
Jessica Aguilar,115 lbs.,20,8,0,1982-05-08,United States,Strawweight,43,17/02/2023
Kevin Aguilar,155 lbs.,17,5,0,1988-09-07,United States,Featherweight,36,15/05/2021
Christian Aguilera,170 lbs.,14,8,0,1991-11-25,United States,Welterweight,33,07/03/2025
Omari Akhmedov,185 lbs.,21,6,1,1987-10-12,Russia,Middleweight,37,25/11/2022
Yoshihiro Akiyama,170 lbs.,14,6,0,1975-07-29,Japan,Welterweight,49,28/01/2024
Rostem Akman,170 lbs.,6,2,0,1991-12-19,Sweden,Welterweight,33,05/02/2023
Razak Al-Hassan,205 lbs.,13,5,0,1982-05-14,United States,Light Heavyweight,42,09/12/2016
Mostapha Al-Turk,245 lbs.,6,6,0,1973-07-14,England,Heavyweight,51,10/04/2010
Amir Albazi,125 lbs.,17,2,0,1993-10-27,Sweden,Flyweight,31,06/12/2024
John Albert,135 lbs.,6,5,0,1986-10-13,United States,Bantamweight,38,27/07/2013
Junior Albini,264 lbs.,14,6,0,1991-03-15,Brazil,Heavyweight,34,31/08/2021
Wes Albritton,188 lbs.,0,1,0,,United States,Middleweight,,30/05/1997
Aleksandra Albu,115 lbs.,3,2,0,1990-07-14,Russia,Strawweight,34,26/10/2019
Iuri Alcantara,135 lbs.,35,10,0,1980-08-04,Brazil,Bantamweight,44,10/02/2023
Ildemar Alcantara,185 lbs.,21,11,0,1982-11-17,Brazil,Middleweight,42,30/06/2023
Alfonso Alcarez,145 lbs.,1,3,1,1970-06-10,United States,Bantamweight,54,02/02/2019
Gilbert Aldana,250 lbs.,6,2,0,1977-08-25,United States,Heavyweight,47,11/06/2005
Irene Aldana,135 lbs.,15,8,0,1988-03-26,Mexico,Bantamweight,37,14/09/2024
Hector Aldana,170 lbs.,4,3,0,1988-08-17,Mexico,Welterweight,36,30/09/2023
Jose Aldo,135 lbs.,32,9,0,1986-09-09,Brazil,Bantamweight,38,05/10/2024
Jim Alers,145 lbs.,13,3,0,1986-10-14,United States,Featherweight,38,05/06/2022
John Alessio,155 lbs.,35,17,0,1979-07-05,Canada,Lightweight,45,05/12/2008
Houston Alexander,205 lbs.,17,15,1,1972-03-22,United States,Light Heavyweight,53,18/11/2022
Bill Algeo,145 lbs.,18,9,0,1989-06-09,United States,Featherweight,35,15/04/2023
Royce Alger,199 lbs.,3,2,0,1965-03-06,United States,Light Heavyweight,60,16/07/1999
Amir Aliakbari,250 lbs.,10,1,0,1987-12-11,Iran,Heavyweight,37,08/11/2024
Sultan Aliev,170 lbs.,15,3,0,1984-09-17,Russia,Welterweight,40,20/04/2019
John Allan,205 lbs.,13,7,0,1993-02-22,Brazil,Light Heavyweight,32,26/06/2022
Arnold Allen,145 lbs.,20,3,0,1994-01-17,England,Featherweight,31,18/01/2025
Brendan Allen,185 lbs.,24,7,0,1995-12-28,United States,Middleweight,29,28/02/2025
Ben Alloway,170 lbs.,18,8,0,1981-02-19,Australia,Welterweight,44,11/05/2019
Ricardo Almeida,170 lbs.,13,5,0,1976-11-29,United States,Welterweight,48,03/11/2013
Thomas Almeida,145 lbs.,22,5,0,1991-07-31,Brazil,Bantamweight,33,11/04/2025
Ericka Almeida,115 lbs.,7,3,0,1989-03-05,Brazil,Bantamweight,36,30/05/2015
Mauricio Alonso,170 lbs.,13,7,0,1980-02-27,Brazil,Middleweight,45,27/04/2024
Sarah Alpar,135 lbs.,9,6,0,1991-06-01,United States,Bantamweight,33,30/01/2025
Ali Alqaisi,135 lbs.,8,5,0,1990-08-23,Jordan,Bantamweight,34,17/01/2025
Sean Alvarez,235 lbs.,4,3,0,1971-07-14,United States,Heavyweight,53,17/05/2003
Eddie Alvarez,155 lbs.,29,6,0,1984-01-11,United States,Welterweight,41,08/07/2016
Joel Alvarez,155 lbs.,22,3,0,1993-03-02,Spain,Lightweight,32,14/12/2024
Thiago Alves,170 lbs.,23,15,0,1983-10-03,Brazil,Welterweight,41,27/04/2024
