Name,Profile_URL,Surname,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws
Tom,http://ufcstats.com/fighter-details/93fe7332d16c6ad9,Aaron,,--,155 lbs.,--,,5,3,0
Danny,http://ufcstats.com/fighter-details/15df64c02b6b0fde,Abbadi,The Assassin,"5' 11""",155 lbs.,--,Orthodox,4,6,0
Nariman,http://ufcstats.com/fighter-details/59a9d6dac61c2540,Abbasov,Bayraktar,"5' 8""",155 lbs.,"66.0""",Orthodox,28,4,0
David,http://ufcstats.com/fighter-details/b361180739bed4b0,Abbott,Tank,"6' 0""",265 lbs.,--,Switch,10,15,0
Hamdy,http://ufcstats.com/fighter-details/3329d692aea4dc28,Abdelwahab,The Hammer,"6' 2""",264 lbs.,"72.0""",Southpaw,6,0,0
Mansur,http://ufcstats.com/fighter-details/841695e02c99a521,Abdul-Malik,,"6' 2""",185 lbs.,"79.0""",Orthodox,8,0,0
Shamil,http://ufcstats.com/fighter-details/2f5cbecbbe18bac4,Abdurakhimov,Abrek,"6' 3""",235 lbs.,"76.0""",Orthodox,20,8,0
Hiroyuki,http://ufcstats.com/fighter-details/c0ed7b208197e8de,Abe,Abe Ani,"5' 6""",145 lbs.,--,Orthodox,8,15,3
Daichi,http://ufcstats.com/fighter-details/5140122c3eecd307,Abe,,"5' 11""",170 lbs.,"71.0""",Orthodox,6,2,0
Papy,http://ufcstats.com/fighter-details/c9f6385af6df66d7,Abedi,Makambo,"5' 11""",185 lbs.,--,Southpaw,10,4,0
Ricardo,http://ufcstats.com/fighter-details/aa6e591c2a2cdecd,Abreu,Demente,"5' 11""",185 lbs.,--,Orthodox,5,1,0
Klidson,http://ufcstats.com/fighter-details/7279654c7674cd24,Abreu,White Bear,"6' 0""",205 lbs.,"74.0""",Orthodox,15,4,0
Cyborg,http://ufcstats.com/fighter-details/f689bd7bbd14b392,Abreu,,--,--,--,,0,0,0
Daniel,http://ufcstats.com/fighter-details/1c5879330d42255f,Acacio,,"5' 8""",180 lbs.,--,Orthodox,30,18,0
John,http://ufcstats.com/fighter-details/989b85f6540c86b1,Adajar,The Outlaw,"5' 9""",170 lbs.,"75.0""",Orthodox,6,2,0
Scott,http://ufcstats.com/fighter-details/2620f3eb21c79614,Adams,,"6' 0""",225 lbs.,--,Southpaw,8,1,0
Juan,http://ufcstats.com/fighter-details/83b00f7597e5ac83,Adams,The Kraken,"6' 5""",265 lbs.,"80.0""",Orthodox,5,3,0
Anthony,http://ufcstats.com/fighter-details/a77633a989013265,Adams,Sugafoot,"6' 1""",185 lbs.,"76.0""",Orthodox,8,2,0
Zarrukh,http://ufcstats.com/fighter-details/79cb2a690b9ba5e8,Adashev,The Lion,"5' 5""",125 lbs.,"65.0""",Southpaw,4,4,0
Israel,http://ufcstats.com/fighter-details/1338e2c7480bdf9e,Adesanya,The Last Stylebender,"6' 4""",185 lbs.,"80.0""",Switch,24,5,0
